SampleID,Env
TZX41,mid_school
TZX42,mid_school
TZX43,mid_school
TZX44,mid_school
TZX45,mid_school
TZX46,mid_school
TZX47,mid_school
TZX48,mid_school
TZX49,mid_school
TZX5,mid_school
TZX50,mid_school
TZX51,mid_school
TZX52,mid_school
TZX53,mid_school
TZX54,mid_school
TZX55,mid_school
TZX56,mid_school
TZX57,mid_school
TZX58,mid_school
TZX59,mid_school
TZX6,mid_school
TZX60,mid_school
TZX61,mid_school
TZX62,mid_school
TZX63,mid_school
TZX64,mid_school
TZX65,mid_school
TZX66,mid_school
TZX67,mid_school
TZX68,mid_school
TZX69,mid_school
TZX7,mid_school
TZX70,mid_school
TZX71,mid_school
TZX72,mid_school
TZX73,mid_school
TZX74,mid_school
TZX75,mid_school
TZX76,mid_school
TZX77,mid_school
TZX78,mid_school
TZX79,mid_school
TZX8,mid_school
TZX80,mid_school
TZX81,mid_school
TZX82,mid_school
TZX83,mid_school
TZX84,mid_school
TZX85,mid_school
TZX86,mid_school
TZX87,mid_school
TZX88,mid_school
TZX9,mid_school
TZX90,mid_school
TZX92,mid_school
TZX94,mid_school
TZX95,mid_school
TZX96,mid_school
TZX97,mid_school
TZX98,mid_school
TZX99,mid_school
Q108,youth
Q120,youth
Q123,youth
Q126,youth
Q32,youth
Q41,youth
Q47,youth
TQ034,youth
TQ052,youth
TQ060,youth
TQ062,youth
TQ064,youth
TQ083,youth
TQ084,youth
TQ090,youth
TQ1,youth
TQ10,youth
TQ100,youth
TQ101,youth
TQ102,youth
TQ103,youth
TQ104,youth
TQ105,youth
TQ106,youth
TQ107,youth
TQ108,youth
TQ109,youth
TQ11,youth
TQ110,youth
TQ111,youth
TQ112,youth
TQ113,youth
TQ114,youth
TQ115,youth
TQ116,youth
TQ117,youth
TQ118,youth
TQ119,youth
TQ12,youth
TQ121,youth
TQ122,youth
TQ124,youth
TQ125,youth
TQ127,youth
TQ128,youth
TQ129,youth
TQ13,youth
TQ130,youth
TQ131,youth
TQ132,youth
TQ133,youth
TQ135,youth
TQ136,youth
TQ137,youth
TQ139,youth
TQ14,youth
TQ140,youth
TQ141,youth
TQ15,youth
TQ16,youth
TQ19,youth
TQ2,youth
TQ20,youth
TQ21,youth
TQ22,youth
TQ23,youth
TQ24,youth
TQ25,youth
TQ26,youth
TQ27,youth
TQ28,youth
TQ29,youth
TQ3,youth
TQ30,youth
TQ31,youth
TQ33,youth
TQ35,youth
TQ36,youth
TQ38,youth
TQ39,youth
TQ4,youth
TQ42,youth
TQ43,youth
TQ44,youth
TQ45,youth
TQ46,youth
TQ48,youth
TQ49,youth
TQ5,youth
TQ50,youth
TQ51,youth
TQ53,youth
TQ54,youth
TQ55,youth
TQ56,youth
TQ57,youth
TQ58,youth
TQ59,youth
TQ6,youth
TQ61,youth
TQ63,youth
TQ65,youth
TQ66,youth
TQ67,youth
TQ68,youth
TQ69,youth
TQ7,youth
